latin_name,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,pitch_mean,centroid_mean,bandwidth_mean,rms_mean
Periparus_ater,-479.48590698242185,-28.622529888153075,-32.854008483886716,39.32152681350708,0.8860943794250489,-22.437238121032713,3.8347289323806764,12.016843795776367,1780.3947162713298,7957.79800468647,4229.511045004315,0.045730190351605415
Poecile_atricapillus,-316.80872344970703,-18.979264879226683,-54.10764331817627,12.5253347158432,-14.931714802980423,2.368419420719147,-20.756191793084145,12.97587571144104,1753.9801859696665,8418.736438699456,4803.019769957412,0.05870447531342506
Baeolophus_bicolor,-311.856494140625,-13.611293983459472,-40.900899696350095,11.5056764960289,-22.29763023853302,11.30447506904602,-20.713603806495666,2.3293550968170167,1432.6939654983944,8992.794106596342,4955.3546197317355,0.04642268056049943
Poecile_carolinensis,-341.63807678222656,-20.38973548412323,-56.18279066085815,12.41985218524933,-9.230575373768806,2.0026451006531714,-13.780781817436218,-0.0210399866104126,1690.5023035862523,8041.526131626362,4546.985814376935,0.06149114910513163
Lophophanes_cristatus,-487.89605102539065,-9.392255210876465,-45.42405033111572,31.502715969085692,10.597162342071533,-22.227986669540407,2.9432776808738708,0.24444258064031602,1710.6521614505539,6651.5617710095485,3649.9174766218557,0.04050076389685273
Poecile_gambeli,-356.5879262288411,-35.91489413049486,-46.8523063659668,13.42697816590468,-16.212090810139973,-1.394218875302209,-20.208270258373684,11.98477510942353,1773.2039469550325,9137.662868651645,4890.160798426151,0.05105853846503629
Baeolophus_ridgwayi,-363.3438212076823,-28.863050566779243,-41.33225578731961,-3.750292698542277,-8.837102254231771,5.434977822833591,-17.227793998188442,5.026950245102246,595.9206939068665,9198.938982281163,4713.020515516305,0.0373798799701035
Pardaliparus_venustulus,-355.5955009460449,-22.36129242181778,-73.39725065231323,29.24887764453888,-16.68138974905014,0.8067362010478973,-9.740462966263294,10.408753037452698,1810.2641640465304,7478.730485145883,3979.195428535877,0.04840220767073333
Baeolophus_wollweberi,-305.82987213134766,-24.89382529258728,-52.126246482133865,14.803853332996368,-27.14689040184021,5.685753591358662,-23.459532499313354,6.39222527295351,1530.1971987369202,8961.496656395657,4644.317792842525,0.04435149813070893
Baeolophus_inornatus,-365.0840148925781,-41.71278464794159,-66.51768732070923,5.36944580078125,-13.762682124972343,-0.7297386601567268,-17.19169020652771,8.467112302780151,1759.4191111385896,8520.62551239613,4609.883621171015,0.034237129148095846
Fringilla_coelebs,-435.3961975097656,-15.39655568599701,-72.23954353332519,34.66408901214599,12.158900213241576,-21.787631767988206,-3.2589372485876082,5.685960721969605,1710.7528852730113,6809.490186648243,4143.6866057313,0.038497302867472175
Carpodacus_erythrinus,-332.32191314697263,-4.782290874421596,-59.33348531723023,11.96768947839737,-5.928397759795189,-11.940634989738465,-2.9795156717300415,7.501919198036194,1362.7762314489667,6648.03464264385,4221.157576646867,0.037130895629525186
Fringilla_montifringilla,-440.1600112915039,9.72445684671402,-53.0021288394928,28.74227511882782,11.30660542845726,-6.009882211685181,-16.364059448242188,11.027191683650017,1716.617737808983,6386.939099514048,4006.145787506508,0.035276437643915415
Pinicola_enucleator,-426.9991760253906,-19.945495024323463,-75.64240264892578,23.157241106033325,11.27016168832779,4.742232009768486,-17.45016461610794,1.8214643318206072,1599.0649404806657,6762.235751592685,4243.025475158348,0.04814526461996138
Pyrrhula_pyrrhula,-370.2543754577637,-26.261821269989014,-53.246681332588196,9.745410144329071,7.073698580265045,0.6902832090854645,-11.36291253566742,-5.223241724073887,1541.3399139070643,7230.801338358244,4210.499624609657,0.04156138433609158
Coccothraustes_coccothraustes,-533.8750915527344,-31.119483809918165,-58.12323753039042,39.844662030537926,-0.18723018964131674,-11.497630914052328,6.281355420748393,-2.122599646449089,1651.4712864296596,6948.743543132314,3123.9522172418187,0.02076531449953715
Hesperiphona_vespertina,-357.7186787923177,-27.885866165161133,-67.25548807779948,38.94090970357259,27.27669397989909,-11.946937084197998,-8.629003092646599,4.850992202758789,1748.8681072631327,7278.426442775052,5229.00580594086,0.04813035142918428
Rhodopechys_sanguineus,-272.21893310546875,-45.14667193094889,-35.80367787679037,14.865387121836344,-4.242707669734955,9.236395517985025,-20.605892817179363,6.200918833414714,1558.2965686929588,10476.810661111014,5447.290387356486,0.03787775399784247
Phylloscopus_trochilus,-482.7675048828125,-16.0889452457428,-45.49472036361694,19.24796998500824,14.263287162780761,-16.248914289474488,-0.5755384564399719,10.141887652873994,1693.7121100294871,8733.843625215717,5153.998249077358,0.03702828250825405
Phylloscopus_bonelli,-411.43439331054685,-40.536339616775514,-20.605445528030394,23.771171951293944,0.20933403968811035,-14.734363222122193,-1.9937091588973999,10.541300559043885,1639.78207062603,10217.532721704249,4942.365142460217,0.034013621415942906
Phylloscopus_sibilatrix,-523.2165435791015,-47.41129722595215,-64.50454025268554,59.23116493225098,-4.200417876243591,-17.270993041992188,7.01163025945425,-4.42950339615345,1746.5381831036884,6932.516951632973,3303.4367053677897,0.0379976637661457
Phylloscopus_collybita,-472.21510925292966,-2.8820341289043427,-52.89456739425659,37.820963287353514,3.15427885055542,-24.896863305568694,15.039770984649659,7.356208443641663,1774.0427770881556,6381.4679313406,4023.9463911064813,0.029725001379847526
Phylloscopus_humei,-377.8966796875,-43.222964477539065,-33.65684266090393,18.23219027519226,-24.250071460631442,1.8956551738083363,-5.883653390407562,2.4381079405546187,1831.295056688347,9619.67791408433,4906.95302675173,0.04698504563421011
Phylloscopus_proregulus,-331.14109802246094,-12.64606208652258,-34.72362337112427,31.855771446228026,-8.142063784599305,-12.764971053600311,-5.565828481316567,11.086683744192124,1780.9595622704633,8186.720715357057,4756.543395231293,0.05461621340364218
Phylloscopus_pulcher,-424.10711669921875,-45.13189310497708,-51.49553341335721,42.1403259701199,-32.76710753970676,-0.21167458428276908,1.084594789478514,1.020874238676495,1391.1343700303528,7895.787489378909,3884.801034836481,0.05192370505796538
Phylloscopus_inornatus,-351.29689025878906,-15.937294218275282,-11.349872350692749,17.00226370493571,-16.931074778238933,-6.171345171001223,0.7695151170094808,3.24911320871777,1674.2741287807635,9456.056268880726,5068.781612216129,0.04623023151523537
Phylloscopus_yunnanensis,-305.9501207139757,-78.79631657070584,-63.294638315836586,33.45180361800723,2.6776937974823847,-19.180714779429966,3.3261776765187583,7.100014845530192,1456.8697668260918,9242.346105032962,5058.223480876493,0.0634880688869291
Phylloscopus_armandii,-465.14400809151783,-43.19258213043213,-46.390941211155486,22.82679898398263,-9.54685492174966,-5.534834623336792,-6.585803798266819,12.589211310659136,1740.953399227717,9326.282626696455,4493.1468196808955,0.028061782675130025
